a, 90578
b, 17848
c, 27902
d, 47462
e, 141093
f, 25561
g, 26514
h, 69123
i, 77517
j, 1331
k, 11528
l, 53098
m, 27849
n, 79418
o, 90126
p, 20983
q, 1208
r, 69426
s, 73888
t, 97087
u, 33374
v, 9471
w, 23871
x, 1443
y, 23581
z, 932
A, 3548
B, 3577
C, 2587
D, 2134
E, 2122
F, 1448
G, 1697
H, 3942
I, 4955
J, 1081
K, 670
L, 2442
M, 4046
N, 1715
O, 2563
P, 1880
Q, 134
R, 1579
S, 3769
T, 4606
U, 378
V, 396
W, 2560
X, 21
Y, 999
Z, 144
